,SA2 code,2017 Population,2018 Population,2019 Population,2020 Population,2021 Population,2022 Population,2026 Population,2031 Population,2036 Population,2023 Population,2024 Population,2025 Population,SA2 name
439,213051464,14521,16086,17871,19103,19585,18658.05365767039,26634.700000000186,33207.200000000186,39779.700000000186,19052.45538589009,19446.857114109793,19841.258842329495,Point Cook - East
440,213051466,16734,18149,19029,19346,19385,20563.23063742905,23077.90000000014,26327.40000000014,29576.90000000014,21249.074926018016,21934.919214606984,22620.76350319595,Point Cook - South
441,213051467,20658,20615,20473,20163,19241,20892.554261363635,17929.79999999993,16286.79999999993,14643.79999999993,21081.686381392065,21270.818501420435,21459.950621448865,Werribee - East
442,213051468,13533,15119,17475,20182,22661,23222.928684304003,34117.299999999814,45776.799999999814,57436.299999999814,25116.68635179894,27010.444019294344,28904.201686789747,Werribee - West
443,213051579,7460,8328,9177,10001,10781,11643.899999999907,14969.899999999907,19127.399999999907,23284.899999999907,12475.399999999907,13306.899999999907,14138.399999999907,Manor Lakes - Quandong
444,213051580,15210,15258,15212,14957,14330,14375.100000000035,13550.700000000012,12520.200000000012,11489.700000000012,14169.000000000058,13962.900000000023,13756.800000000047,Point Cook - North East
445,213051581,9501,9671,9730,9786,9690,9823.5,10020.699999999997,10267.199999999997,10513.699999999997,9872.799999999988,9922.099999999991,9971.399999999994,Point Cook - North West
446,213051582,1486,3208,5305,7342,10301,12057.600000000559,20763.200000000186,31645.200000000186,42527.200000000186,14234.000000000931,16410.400000000373,18586.800000000745,Tarneit (West) - Mount Cottrell
447,213051583,26452,27243,27854,28250,28573,29249.099999999977,31348.70000000007,33973.20000000007,36597.70000000007,29773.999999999884,30298.900000000023,30823.79999999993,Tarneit - Central
448,213051584,900,2407,3999,5640,7331,8883.899999999907,15321.899999999907,23369.399999999907,31416.899999999907,10493.399999999907,12102.899999999907,13712.399999999907,Tarneit - North
449,213051585,11066,11261,11375,11494,11306,11514.300000000017,11799.5,12156.0,12512.5,11585.600000000006,11656.899999999994,11728.200000000012,Tarneit - South
450,213051586,2706,4275,6019,7880,9532,11259.5,18162.299999999814,26790.799999999814,35419.299999999814,12985.200000000186,14710.899999999907,16436.600000000093,Truganina - North
451,213051587,6603,7292,8208,9070,9751,10607.0,13836.600000000093,17873.600000000093,21910.600000000093,11414.399999999907,12221.800000000047,13029.199999999953,Truganina - South East
452,213051588,18373,18917,19322,19377,19385,19820.0,20813.599999999977,22055.599999999977,23297.599999999977,20068.400000000023,20316.79999999999,20565.20000000001,Truganina - South West
453,213051589,4472,5343,6472,7831,9163,10217.200000000186,14965.200000000186,20900.200000000186,26835.200000000186,11404.200000000186,12591.200000000186,13778.200000000186,Wyndham Vale - North
454,213051590,13867,13979,14087,13887,13695,13772.199999999997,13597.800000000003,13379.800000000003,13161.800000000003,13728.600000000006,13685.0,13641.399999999994,Wyndham Vale - South
455,214011370,21813,22027,22172,22358,22262,23012.183638139162,22986.70000000001,23601.20000000001,24215.70000000001,23295.697605942143,23579.21157374524,23862.72554154822,Carrum Downs
456,214011371,23727,23973,24104,24230,23908,25009.55033735803,24421.70000000001,24731.20000000001,25040.70000000001,25333.17498224438,25656.799627130735,25980.424272017088,Frankston
457,214011372,19990,20007,19989,19945,19665,20302.647443181806,19420.800000000017,19064.800000000017,18708.800000000017,20428.631016216852,20554.614589251898,20680.598162286915,Frankston North
458,214011373,19095,19179,19241,19156,18948,19535.235484730132,18901.899999999994,18743.399999999994,18584.899999999994,19664.52641157672,19793.81733842331,19923.108265269897,Frankston South
459,214011374,24851,24998,25082,25221,25248,25767.77779651992,25791.899999999994,26300.399999999994,26808.899999999994,25981.39110144414,26195.004406368418,26408.617711292638,Langwarrin
460,214011375,17235,17315,17389,17417,17359,18037.832874644897,17588.0,17763.0,17938.0,18266.178503787844,18494.52413293085,18722.869762073853,Seaford (Vic.)
461,214011376,13823,13917,13842,13657,13419,14071.795214843733,12984.0,12450.0,11916.0,14167.880468749994,14263.965722656256,14360.050976562488,Skye - Sandhurst
462,214021377,12008,12459,12760,13150,13460,13318.382883522718,15283.900000000023,17081.400000000023,18878.900000000023,13516.546166252345,13714.70944898203,13912.872731711657,Dromana
463,214021378,5716,5793,5870,5947,6021,5880.226973100143,6404.200000000012,6786.200000000012,7168.200000000012,5892.6234278823395,5905.0198826645355,5917.416337446732,Flinders
464,214021379,23221,23583,23903,24157,24240,24837.996200284106,25649.20000000001,26955.20000000001,28261.20000000001,25180.009638375952,25522.023076467798,25864.036514559644,Hastings - Somers
465,214021381,18822,18975,19056,19112,18923,19418.062801846594,19214.9,19384.4,19553.9,19560.371357125987,19702.67991240532,19844.988467684656,Mount Eliza
466,214021382,19594,19753,19982,20043,20020,20778.09729225852,20677.79999999999,21248.79999999999,21819.79999999999,21077.195353929885,21376.29341560125,21675.39147727273,Mount Martha
467,214021383,18361,18740,19160,19614,19990,19253.126296164774,22065.400000000023,24131.400000000023,26197.400000000023,19308.79942294034,19364.47254971591,19420.145676491476,Point Nepean
468,214021384,21994,22322,22620,22899,23139,23444.9051136364,24601.70000000007,26035.20000000007,27468.70000000007,23735.60622928501,24026.30734493374,24317.008460582467,Rosebud - McCrae
469,214021385,18896,18894,18825,18765,18688,19547.450790127856,18432.09999999999,18159.59999999999,17887.09999999999,19768.169794625952,19988.888799124048,20209.607803622144,Somerville
470,214021591,15367,15480,15565,15524,15273,15398.600000000006,15341.0,15269.0,15197.0,15384.200000000004,15369.800000000003,15355.400000000005,Mornington - East
471,214021592,10125,10417,10653,10702,10636,10898.700000000012,11421.49999999997,12074.99999999997,12728.49999999997,11029.400000000023,11160.100000000035,11290.799999999988,Mornington - West
472,215011386,8401,8420,8455,8538,8468,8506.272696200285,8632.800000000003,8758.800000000003,8884.800000000003,8521.083004853219,8535.893313506156,8550.70362215909,Ararat
